Unix_Timestamp,Action_Label,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1776200364.325393,Rest,-3,-4,-7,-2,-1,-3,-2,-1,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40478515625,-0.5107421875,0.74658203125,-0.0625,-0.125,-0.25
1776200364.325393,Rest,2,-2,2,1,1,-2,0,-2,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40478515625,-0.5107421875,0.74658203125,-0.0625,-0.125,-0.25
1776200364.334244,Rest,-30,-4,1,-1,-3,-2,2,-5,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.334244,Rest,25,3,-2,2,1,-2,-1,4,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.340744,Rest,1,0,-3,0,3,-2,2,-4,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.340744,Rest,-8,2,-2,-1,4,-3,2,1,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.355156,Rest,-2,-1,-2,0,-3,-1,2,2,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.355156,Rest,-1,-2,1,0,-3,0,-1,-3,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40625,-0.5166015625,0.74560546875,-0.125,-0.3125,-0.0625
1776200364.362905,Rest,0,-2,2,-2,0,1,0,-2,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40771484375,-0.51611328125,0.74169921875,0.0625,-0.1875,-0.25
1776200364.362905,Rest,-4,1,-2,-1,-2,-2,1,-1,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40771484375,-0.51611328125,0.74169921875,0.0625,-0.1875,-0.25
1776200364.370221,Rest,0,0,-3,3,1,-2,-1,0,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40771484375,-0.51611328125,0.74169921875,0.0625,-0.1875,-0.25
1776200364.370221,Rest,-8,-5,1,1,-1,1,-3,-2,0.68646240234375,-0.35540771484375,-0.0277099609375,0.63372802734375,-0.40771484375,-0.51611328125,0.74169921875,0.0625,-0.1875,-0.25
1776200364.385878,Rest,33,11,0,0,2,-2,3,0,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.404296875,-0.51123046875,0.740234375,-0.375,0.0625,-0.125
1776200364.385878,Rest,-5,-5,-1,-1,1,-3,-2,-2,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.404296875,-0.51123046875,0.740234375,-0.375,0.0625,-0.125
1776200364.39255,Rest,5,9,-3,0,-1,1,-1,-1,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.404296875,-0.51123046875,0.740234375,-0.375,0.0625,-0.125
1776200364.39255,Rest,-9,-1,-1,-1,0,-1,1,-3,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.404296875,-0.51123046875,0.740234375,-0.375,0.0625,-0.125
1776200364.400398,Rest,-2,-2,0,-2,0,1,1,3,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.40283203125,-0.51611328125,0.74658203125,-0.0625,-0.0625,0.125
1776200364.400398,Rest,0,-2,-1,-3,1,-1,-1,-1,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.40283203125,-0.51611328125,0.74658203125,-0.0625,-0.0625,0.125
1776200364.415466,Rest,1,3,0,0,-3,-4,-3,0,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.40283203125,-0.51611328125,0.74658203125,-0.0625,-0.0625,0.125
1776200364.415466,Rest,3,-2,0,1,-1,1,-3,-1,0.68646240234375,-0.3553466796875,-0.0277099609375,0.6337890625,-0.40283203125,-0.51611328125,0.74658203125,-0.0625,-0.0625,0.125
1776200364.423044,Rest,1,0,8,-1,-2,-3,0,-2,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4052734375,-0.505859375,0.74462890625,0.0,0.125,0.0625
1776200364.423044,Rest,1,0,-8,2,0,-1,-3,-1,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4052734375,-0.505859375,0.74462890625,0.0,0.125,0.0625
1776200364.431491,Rest,-6,-2,2,0,-1,0,1,-1,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4052734375,-0.505859375,0.74462890625,0.0,0.125,0.0625
1776200364.431491,Rest,0,-1,2,-1,-2,-1,2,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4052734375,-0.505859375,0.74462890625,0.0,0.125,0.0625
1776200364.445297,Rest,2,-1,-1,-1,-3,1,-3,-4,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40673828125,-0.51220703125,0.74267578125,0.0,0.0,0.0625
1776200364.445297,Rest,4,-1,-3,1,2,-1,-1,2,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40673828125,-0.51220703125,0.74267578125,0.0,0.0,0.0625
1776200364.45305,Rest,-9,2,0,-2,-1,-2,4,-1,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40673828125,-0.51220703125,0.74267578125,0.0,0.0,0.0625
1776200364.45305,Rest,1,1,3,-1,-3,-6,-3,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40673828125,-0.51220703125,0.74267578125,0.0,0.0,0.0625
1776200364.460181,Rest,0,1,-5,-1,0,0,1,-2,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40869140625,-0.51318359375,0.7373046875,-0.1875,0.25,0.0625
1776200364.460181,Rest,0,-1,0,2,-1,1,-4,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40869140625,-0.51318359375,0.7373046875,-0.1875,0.25,0.0625
1776200364.475231,Rest,-1,-1,-1,1,-3,0,-1,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40869140625,-0.51318359375,0.7373046875,-0.1875,0.25,0.0625
1776200364.475231,Rest,2,1,0,0,-1,-2,-1,-3,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.40869140625,-0.51318359375,0.7373046875,-0.1875,0.25,0.0625
1776200364.483627,Rest,-21,-2,-2,0,1,1,-2,-3,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4072265625,-0.51171875,0.74365234375,-0.0625,0.0,-0.125
1776200364.483627,Rest,4,-1,0,-1,-4,1,2,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4072265625,-0.51171875,0.74365234375,-0.0625,0.0,-0.125
1776200364.49041,Rest,-4,-3,0,-3,-4,-2,-3,-2,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4072265625,-0.51171875,0.74365234375,-0.0625,0.0,-0.125
1776200364.49041,Rest,2,6,-1,1,-3,0,4,0,0.68646240234375,-0.35528564453125,-0.0277099609375,0.6337890625,-0.4072265625,-0.51171875,0.74365234375,-0.0625,0.0,-0.125
1776200364.505362,Rest,-4,0,0,-4,-2,-3,-3,-5,0.68646240234375,-0.35528564453125,-0.02764892578125,0.6337890625,-0.40673828125,-0.50830078125,0.73486328125,-0.25,-0.125,0.125
1776200364.505362,Rest,-2,-2,-2,-1,-2,-4,-2,2,0.68646240234375,-0.35528564453125,-0.02764892578125,0.6337890625,-0.40673828125,-0.50830078125,0.73486328125,-0.25,-0.125,0.125
1776200364.51294,Rest,-1,0,-2,-2,-2,-1,-2,-1,0.68646240234375,-0.35528564453125,-0.02764892578125,0.6337890625,-0.40673828125,-0.50830078125,0.73486328125,-0.25,-0.125,0.125
1776200364.51294,Rest,-17,0,-6,0,-1,-3,0,-3,0.68646240234375,-0.35528564453125,-0.02764892578125,0.6337890625,-0.40673828125,-0.50830078125,0.73486328125,-0.25,-0.125,0.125
1776200364.521695,Rest,14,0,0,3,0,-1,-1,2,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40380859375,-0.51513671875,0.74267578125,-0.1875,0.0625,0.0625
1776200364.521695,Rest,-6,-1,1,-3,-3,1,-1,-3,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40380859375,-0.51513671875,0.74267578125,-0.1875,0.0625,0.0625
1776200364.535351,Rest,2,5,-1,-2,-3,1,-1,-1,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40380859375,-0.51513671875,0.74267578125,-0.1875,0.0625,0.0625
1776200364.535351,Rest,-6,-3,0,0,-4,0,-1,-2,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40380859375,-0.51513671875,0.74267578125,-0.1875,0.0625,0.0625
1776200364.544011,Rest,1,1,-1,2,1,-1,-2,0,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.50830078125,0.736328125,-0.5,0.1875,-0.1875
1776200364.544011,Rest,0,-4,0,-2,1,-2,1,0,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.50830078125,0.736328125,-0.5,0.1875,-0.1875
1776200364.550362,Rest,-3,-1,0,-2,-1,3,-3,-1,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.50830078125,0.736328125,-0.5,0.1875,-0.1875
1776200364.550362,Rest,-1,-3,-5,0,1,-2,0,0,0.68646240234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.50830078125,0.736328125,-0.5,0.1875,-0.1875
1776200364.565461,Rest,2,1,2,-1,0,1,-1,-4,0.6865234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.51904296875,0.74267578125,-0.4375,0.0,-0.1875
1776200364.565461,Rest,-2,0,-1,-3,-1,0,0,-1,0.6865234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.51904296875,0.74267578125,-0.4375,0.0,-0.1875
1776200364.572666,Rest,-10,-2,-2,-1,-1,-1,0,2,0.6865234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.51904296875,0.74267578125,-0.4375,0.0,-0.1875
1776200364.572666,Rest,10,3,0,1,3,4,0,1,0.6865234375,-0.355224609375,-0.02764892578125,0.6337890625,-0.40576171875,-0.51904296875,0.74267578125,-0.4375,0.0,-0.1875
